Name,Realm,Level,Class,Race,Rank,AQ,AP,Alt?,Main,iLvl,Last Login,Raider.io,Armory,Logs
Tosee,garrosh,80,Warlock,Human,Half Moon,1360.0,11265.0,False,Tosee,132,2026-02-21 19:08:02,https://raider.io/characters/eu/garrosh/tosee,https://worldofwarcraft.blizzard.com/en-gb/character/eu/garrosh/tosee,https://www.warcraftlogs.com/character/eu/garrosh/tosee
Iddybiddy,quelthalas,85,Priest,Gnome,Officer Alt,2090.0,18115.0,False,Iddybiddy,150,2026-03-16 12:22:07,https://raider.io/characters/eu/quelthalas/iddybiddy,https://worldofwarcraft.blizzard.com/en-gb/character/eu/quelthalas/iddybiddy,https://www.warcraftlogs.com/character/eu/quelthalas/iddybiddy
Shíftii,quelthalas,80,Rogue,Human,Officer Alt,2758.0,23780.0,False,Shíftii,144,2026-02-25 11:02:50,https://raider.io/characters/eu/quelthalas/shíftii,https://worldofwarcraft.blizzard.com/en-gb/character/eu/quelthalas/shíftii,https://www.warcraftlogs.com/character/eu/quelthalas/shíftii
Hanana,bloodfeather,80,Monk,Night Elf,New Moon,3601.0,28960.0,False,Hanana,93,2026-03-09 07:45:17,https://raider.io/characters/eu/bloodfeather/hanana,https://worldofwarcraft.blizzard.com/en-gb/character/eu/bloodfeather/hanana,https://www.warcraftlogs.com/character/eu/bloodfeather/hanana
Castorel,magtheridon,90,Mage,Worgen,Full Moon,1307.0,10140.0,False,Castorel,207,2026-03-14 10:24:41,https://raider.io/characters/eu/magtheridon/castorel,https://worldofwarcraft.blizzard.com/en-gb/character/eu/magtheridon/castorel,https://www.warcraftlogs.com/character/eu/magtheridon/castorel
Nonea,aszune,90,Hunter,Night Elf,Full Moon,4287.0,34015.0,False,Nonea,241,2026-03-15 19:35:51,https://raider.io/characters/eu/aszune/nonea,https://worldofwarcraft.blizzard.com/en-gb/character/eu/aszune/nonea,https://www.warcraftlogs.com/character/eu/aszune/nonea
Lafavele,burning-legion,41,Druid,Night Elf,Waxing Moon,648.0,5165.0,False,Lafavele,26,2026-02-08 00:43:07,https://raider.io/characters/eu/burning-legion/lafavele,https://worldofwarcraft.blizzard.com/en-gb/character/eu/burning-legion/lafavele,https://www.warcraftlogs.com/character/eu/burning-legion/lafavele
Bettybones,ravencrest,80,Warrior,Night Elf,Full Moon,1824.0,15730.0,False,Bettybones,115,2026-03-03 02:03:43,https://raider.io/characters/eu/ravencrest/bettybones,https://worldofwarcraft.blizzard.com/en-gb/character/eu/ravencrest/bettybones,https://www.warcraftlogs.com/character/eu/ravencrest/bettybones
Visilya,draenor,80,Hunter,Orc,New Moon,226.0,2015.0,False,Visilya,51,2026-02-15 02:54:08,https://raider.io/characters/eu/draenor/visilya,https://worldofwarcraft.blizzard.com/en-gb/character/eu/draenor/visilya,https://www.warcraftlogs.com/character/eu/draenor/visilya
Kafál,steamwheedle-cartel,80,Demon Hunter,Night Elf,Active Moon,2967.0,25260.0,False,Kafál,728,2025-11-26 23:06:25,https://raider.io/characters/eu/steamwheedle-cartel/kafál,https://worldofwarcraft.blizzard.com/en-gb/character/eu/steamwheedle-cartel/kafál,https://www.warcraftlogs.com/character/eu/steamwheedle-cartel/kafál
Gildarion,burning-steppes,80,Paladin,Human,Full Moon,1466.0,13065.0,True,Elgaros,683,2025-12-29 22:25:36,https://raider.io/characters/eu/burning-steppes/gildarion,https://worldofwarcraft.blizzard.com/en-gb/character/eu/burning-steppes/gildarion,https://www.warcraftlogs.com/character/eu/burning-steppes/gildarion
Kazeshíní,moonglade,90,Demon Hunter,Night Elf,Active Moon,3486.0,29135.0,False,Kazeshíní,221,2026-03-15 22:23:58,https://raider.io/characters/eu/moonglade/kazeshíní,https://worldofwarcraft.blizzard.com/en-gb/character/eu/moonglade/kazeshíní,https://www.warcraftlogs.com/character/eu/moonglade/kazeshíní
Spazzingout,moonglade,80,Demon Hunter,Night Elf,New Moon,2841.0,23360.0,False,Spazzingout,115,2026-03-04 00:19:54,https://raider.io/characters/eu/moonglade/spazzingout,https://worldofwarcraft.blizzard.com/en-gb/character/eu/moonglade/spazzingout,https://www.warcraftlogs.com/character/eu/moonglade/spazzingout
Kanters,moonglade,90,Shaman,Draenei,Active Moon,3319.0,27380.0,False,Kanters,240,2026-03-15 17:44:39,https://raider.io/characters/eu/moonglade/kanters,https://worldofwarcraft.blizzard.com/en-gb/character/eu/moonglade/kanters,https://www.warcraftlogs.com/character/eu/moonglade/kanters
Nilvek,moonglade,90,Paladin,Dwarf,Active Moon,5642.0,48885.0,False,Nilvek,239,2026-03-16 12:35:33,https://raider.io/characters/eu/moonglade/nilvek,https://worldofwarcraft.blizzard.com/en-gb/character/eu/moonglade/nilvek,https://www.warcraftlogs.com/character/eu/moonglade/nilvek
Vados,moonglade,80,Druid,Night Elf,Waxing Moon,3282.0,25675.0,False,Vados,134,2026-02-22 12:04:04,https://raider.io/characters/eu/moonglade/vados,https://worldofwarcraft.blizzard.com/en-gb/character/eu/moonglade/vados,https://www.warcraftlogs.com/character/eu/moonglade/vados
Obscurity,burning-steppes,90,Priest,Draenei,Full Moon,2902.0,22535.0,False,Obscurity,219,2026-03-13 20:48:30,https://raider.io/characters/eu/burning-steppes/obscurity,https://worldofwarcraft.blizzard.com/en-gb/character/eu/burning-steppes/obscurity,https://www.warcraftlogs.com/character/eu/burning-steppes/obscurity
Xenomatter,burning-steppes,90,Priest,Draenei,Waxing Moon,1107.0,9900.0,True,Lookatmebaby,236,2026-03-16 11:58:43,https://raider.io/characters/eu/burning-steppes/xenomatter,https://worldofwarcraft.blizzard.com/en-gb/character/eu/burning-steppes/xenomatter,https://www.warcraftlogs.com/character/eu/burning-steppes/xenomatter
Bouchon,stormreaver,80,Warlock,Void Elf,New Moon,1166.0,10055.0,False,Bouchon,633,2025-12-25 22:42:08,https://raider.io/characters/eu/stormreaver/bouchon,https://worldofwarcraft.blizzard.com/en-gb/character/eu/stormreaver/bouchon,https://www.warcraftlogs.com/character/eu/stormreaver/bouchon
Lafvel,burning-legion,85,Demon Hunter,Blood Elf,Full Moon,672.0,5350.0,True,Lafavele,144,2026-03-16 01:15:24,https://raider.io/characters/eu/burning-legion/lafvel,https://worldofwarcraft.blizzard.com/en-gb/character/eu/burning-legion/lafvel,https://www.warcraftlogs.com/character/eu/burning-legion/lafvel
Demonalpha,korgall,80,Demon Hunter,Night Elf,Full Moon,2766.0,21815.0,False,Demonalpha,134,2026-02-19 19:37:57,https://raider.io/characters/eu/korgall/demonalpha,https://worldofwarcraft.blizzard.com/en-gb/character/eu/korgall/demonalpha,https://www.warcraftlogs.com/character/eu/korgall/demonalpha
Rosestormrag,korgall,90,Demon Hunter,Night Elf,Full Moon,3887.0,32025.0,False,Rosestormrag,225,2026-03-15 12:17:38,https://raider.io/characters/eu/korgall/rosestormrag,https://worldofwarcraft.blizzard.com/en-gb/character/eu/korgall/rosestormrag,https://www.warcraftlogs.com/character/eu/korgall/rosestormrag
Aression,burning-steppes,90,Mage,Human,Full Moon,1107.0,9900.0,True,Lookatmebaby,236,2026-03-16 11:44:50,https://raider.io/characters/eu/burning-steppes/aression,https://worldofwarcraft.blizzard.com/en-gb/character/eu/burning-steppes/aression,https://www.warcraftlogs.com/character/eu/burning-steppes/aression
Shopaholly,silvermoon,80,Hunter,Night Elf,Full Moon,2407.0,21515.0,False,Shopaholly,604,2026-01-15 20:18:59,https://raider.io/characters/eu/silvermoon/shopaholly,https://worldofwarcraft.blizzard.com/en-gb/character/eu/silvermoon/shopaholly,https://www.warcraftlogs.com/character/eu/silvermoon/shopaholly
Ashadori,moonglade,90,Mage,Void Elf,Full Moon,3353.0,26275.0,True,Vados,240,2026-03-16 01:58:26,https://raider.io/characters/eu/moonglade/ashadori,https://worldofwarcraft.blizzard.com/en-gb/character/eu/moonglade/ashadori,https://www.warcraftlogs.com/character/eu/moonglade/ashadori
Troopp,moonglade,90,Priest,Dwarf,Guild Officer,3835.0,31295.0,False,Troopp,242,2026-03-16 14:01:43,https://raider.io/characters/eu/moonglade/troopp,https://worldofwarcraft.blizzard.com/en-gb/character/eu/moonglade/troopp,https://www.warcraftlogs.com/character/eu/moonglade/troopp
Rhoned,moonglade,90,Warlock,Human,Full Moon,2369.0,19275.0,False,Rhoned,236,2026-03-16 00:05:18,https://raider.io/characters/eu/moonglade/rhoned,https://worldofwarcraft.blizzard.com/en-gb/character/eu/moonglade/rhoned,https://www.warcraftlogs.com/character/eu/moonglade/rhoned
Redtubeme,executus,80,Mage,Human,New Moon,1784.0,14985.0,False,Redtubeme,83,2026-02-24 01:04:52,https://raider.io/characters/eu/executus/redtubeme,https://worldofwarcraft.blizzard.com/en-gb/character/eu/executus/redtubeme,https://www.warcraftlogs.com/character/eu/executus/redtubeme
Ghin,moonglade,80,Priest,Void Elf,Full Moon,3456.0,28890.0,True,Kazeshíní,155,2026-02-11 16:22:50,https://raider.io/characters/eu/moonglade/ghin,https://worldofwarcraft.blizzard.com/en-gb/character/eu/moonglade/ghin,https://www.warcraftlogs.com/character/eu/moonglade/ghin
Anastari,moonglade,82,Paladin,Blood Elf,Half Moon,3341.0,26175.0,True,Vados,128,2026-03-16 13:43:57,https://raider.io/characters/eu/moonglade/anastari,https://worldofwarcraft.blizzard.com/en-gb/character/eu/moonglade/anastari,https://www.warcraftlogs.com/character/eu/moonglade/anastari
Shado,burning-steppes,90,Rogue,Human,Full Moon,2910.0,22625.0,True,Obscurity,230,2026-03-15 16:19:58,https://raider.io/characters/eu/burning-steppes/shado,https://worldofwarcraft.blizzard.com/en-gb/character/eu/burning-steppes/shado,https://www.warcraftlogs.com/character/eu/burning-steppes/shado
Aiyone,steamwheedle-cartel,80,Hunter,Void Elf,Full Moon,2839.0,22270.0,False,Aiyone,656,2026-01-03 18:59:01,https://raider.io/characters/eu/steamwheedle-cartel/aiyone,https://worldofwarcraft.blizzard.com/en-gb/character/eu/steamwheedle-cartel/aiyone,https://www.warcraftlogs.com/character/eu/steamwheedle-cartel/aiyone
Lorrax,ragnaros,80,Paladin,Blood Elf,Full Moon,2989.0,25405.0,False,Lorrax,613,2025-12-20 11:03:53,https://raider.io/characters/eu/ragnaros/lorrax,https://worldofwarcraft.blizzard.com/en-gb/character/eu/ragnaros/lorrax,https://www.warcraftlogs.com/character/eu/ragnaros/lorrax
Bullshotta,stormscale,80,Hunter,Tauren,New Moon,1019.0,8330.0,False,Bullshotta,106,2026-02-25 23:13:30,https://raider.io/characters/eu/stormscale/bullshotta,https://worldofwarcraft.blizzard.com/en-gb/character/eu/stormscale/bullshotta,https://www.warcraftlogs.com/character/eu/stormscale/bullshotta
Otius,ravencrest,90,Warlock,Void Elf,Full Moon,2436.0,19915.0,False,Otius,232,2026-03-16 14:06:45,https://raider.io/characters/eu/ravencrest/otius,https://worldofwarcraft.blizzard.com/en-gb/character/eu/ravencrest/otius,https://www.warcraftlogs.com/character/eu/ravencrest/otius
Swaxx,ravencrest,90,Warrior,Human,Full Moon,1304.0,10735.0,False,Swaxx,217,2026-03-16 09:25:22,https://raider.io/characters/eu/ravencrest/swaxx,https://worldofwarcraft.blizzard.com/en-gb/character/eu/ravencrest/swaxx,https://www.warcraftlogs.com/character/eu/ravencrest/swaxx
Zbancioc,ravencrest,80,Mage,Gnome,Half Moon,1255.0,10305.0,True,Swaxx,110,2026-02-25 14:45:34,https://raider.io/characters/eu/ravencrest/zbancioc,https://worldofwarcraft.blizzard.com/en-gb/character/eu/ravencrest/zbancioc,https://www.warcraftlogs.com/character/eu/ravencrest/zbancioc
Beastmastery,moonglade,80,Hunter,Kul Tiran,New Moon,2875.0,24530.0,False,Beastmastery,119,2026-02-27 15:26:36,https://raider.io/characters/eu/moonglade/beastmastery,https://worldofwarcraft.blizzard.com/en-gb/character/eu/moonglade/beastmastery,https://www.warcraftlogs.com/character/eu/moonglade/beastmastery
Botiss,ravencrest,82,Hunter,Dark Iron Dwarf,Full Moon,2436.0,19915.0,True,Otius,136,2026-03-16 12:37:27,https://raider.io/characters/eu/ravencrest/botiss,https://worldofwarcraft.blizzard.com/en-gb/character/eu/ravencrest/botiss,https://www.warcraftlogs.com/character/eu/ravencrest/botiss
Cealla,ravencrest,80,Paladin,Lightforged Draenei,Full Moon,2048.0,17325.0,False,Cealla,119,2026-03-03 16:22:46,https://raider.io/characters/eu/ravencrest/cealla,https://worldofwarcraft.blizzard.com/en-gb/character/eu/ravencrest/cealla,https://www.warcraftlogs.com/character/eu/ravencrest/cealla
Ironshots,ravencrest,80,Hunter,Dark Iron Dwarf,Half Moon,1249.0,10240.0,True,Swaxx,117,2026-02-17 08:41:11,https://raider.io/characters/eu/ravencrest/ironshots,https://worldofwarcraft.blizzard.com/en-gb/character/eu/ravencrest/ironshots,https://www.warcraftlogs.com/character/eu/ravencrest/ironshots
Ashantho,ravencrest,80,Evoker,Dracthyr,Full Moon,2397.0,19580.0,True,Otius,120,2026-02-28 22:26:06,https://raider.io/characters/eu/ravencrest/ashantho,https://worldofwarcraft.blizzard.com/en-gb/character/eu/ravencrest/ashantho,https://www.warcraftlogs.com/character/eu/ravencrest/ashantho
Kynjare,ravencrest,88,Mage,Void Elf,Full Moon,2058.0,17420.0,True,Cealla,177,2026-03-15 13:56:48,https://raider.io/characters/eu/ravencrest/kynjare,https://worldofwarcraft.blizzard.com/en-gb/character/eu/ravencrest/kynjare,https://www.warcraftlogs.com/character/eu/ravencrest/kynjare
Ganashi,ravencrest,80,Shaman,Draenei,Full Moon,2436.0,19915.0,True,Otius,138,2026-03-16 12:38:27,https://raider.io/characters/eu/ravencrest/ganashi,https://worldofwarcraft.blizzard.com/en-gb/character/eu/ravencrest/ganashi,https://www.warcraftlogs.com/character/eu/ravencrest/ganashi
Astralchick,ravencrest,80,Druid,Night Elf,New Moon,2436.0,19915.0,True,Otius,87,2026-03-16 09:52:38,https://raider.io/characters/eu/ravencrest/astralchick,https://worldofwarcraft.blizzard.com/en-gb/character/eu/ravencrest/astralchick,https://www.warcraftlogs.com/character/eu/ravencrest/astralchick
Cabbar,neptulon,90,Hunter,Night Elf,Full Moon,1709.0,14500.0,False,Cabbar,238,2026-03-16 11:55:29,https://raider.io/characters/eu/neptulon/cabbar,https://worldofwarcraft.blizzard.com/en-gb/character/eu/neptulon/cabbar,https://www.warcraftlogs.com/character/eu/neptulon/cabbar
Balad,neptulon,80,Warrior,Night Elf,Full Moon,1678.0,14260.0,True,Cabbar,97,2026-03-09 12:07:13,https://raider.io/characters/eu/neptulon/balad,https://worldofwarcraft.blizzard.com/en-gb/character/eu/neptulon/balad,https://www.warcraftlogs.com/character/eu/neptulon/balad
Fragatth,ravencrest,80,Mage,Void Elf,Full Moon,2430.0,19860.0,True,Otius,133,2026-03-10 19:04:29,https://raider.io/characters/eu/ravencrest/fragatth,https://worldofwarcraft.blizzard.com/en-gb/character/eu/ravencrest/fragatth,https://www.warcraftlogs.com/character/eu/ravencrest/fragatth
Baijara,stormscale,80,Demon Hunter,Night Elf,Half Moon,2018.0,16320.0,False,Baijara,99,2026-01-23 19:41:50,https://raider.io/characters/eu/stormscale/baijara,https://worldofwarcraft.blizzard.com/en-gb/character/eu/stormscale/baijara,https://www.warcraftlogs.com/character/eu/stormscale/baijara
Recruit,terokkar,80,Shaman,Draenei,Half Moon,1770.0,13925.0,False,Recruit,708,2026-01-20 17:38:57,https://raider.io/characters/eu/terokkar/recruit,https://worldofwarcraft.blizzard.com/en-gb/character/eu/terokkar/recruit,https://www.warcraftlogs.com/character/eu/terokkar/recruit
Lineerune,saurfang,80,Demon Hunter,Night Elf,Full Moon,1347.0,11010.0,False,Lineerune,121,2026-03-07 15:20:57,https://raider.io/characters/eu/saurfang/lineerune,https://worldofwarcraft.blizzard.com/en-gb/character/eu/saurfang/lineerune,https://www.warcraftlogs.com/character/eu/saurfang/lineerune
Treasagreen,terokkar,80,Druid,Worgen,Half Moon,1933.0,15890.0,False,Treasagreen,68,2026-03-12 19:10:51,https://raider.io/characters/eu/terokkar/treasagreen,https://worldofwarcraft.blizzard.com/en-gb/character/eu/terokkar/treasagreen,https://www.warcraftlogs.com/character/eu/terokkar/treasagreen
Véngence,darkspear,80,Priest,Human,Full Moon,1576.0,13460.0,False,Véngence,117,2026-01-24 18:06:32,https://raider.io/characters/eu/darkspear/véngence,https://worldofwarcraft.blizzard.com/en-gb/character/eu/darkspear/véngence,https://www.warcraftlogs.com/character/eu/darkspear/véngence
Uryu,darkspear,82,Warrior,Dwarf,New Moon,396.0,3470.0,False,Uryu,125,2026-03-08 18:12:11,https://raider.io/characters/eu/darkspear/uryu,https://worldofwarcraft.blizzard.com/en-gb/character/eu/darkspear/uryu,https://www.warcraftlogs.com/character/eu/darkspear/uryu
Elgladiator,saurfang,80,Warrior,Human,Full Moon,1814.0,16205.0,False,Elgladiator,97,2026-03-01 09:59:12,https://raider.io/characters/eu/saurfang/elgladiator,https://worldofwarcraft.blizzard.com/en-gb/character/eu/saurfang/elgladiator,https://www.warcraftlogs.com/character/eu/saurfang/elgladiator
Theblueguy,terokkar,90,Paladin,Draenei,Super Moon,2711.0,21145.0,False,Theblueguy,227,2026-03-15 01:09:58,https://raider.io/characters/eu/terokkar/theblueguy,https://worldofwarcraft.blizzard.com/en-gb/character/eu/terokkar/theblueguy,https://www.warcraftlogs.com/character/eu/terokkar/theblueguy
Bobblez,darkspear,80,Paladin,Draenei,Half Moon,2158.0,18075.0,False,Bobblez,67,2026-03-15 19:15:47,https://raider.io/characters/eu/darkspear/bobblez,https://worldofwarcraft.blizzard.com/en-gb/character/eu/darkspear/bobblez,https://www.warcraftlogs.com/character/eu/darkspear/bobblez
Rhainecloud,saurfang,80,Druid,Night Elf,New Moon,2546.0,21520.0,False,Rhainecloud,131,2026-03-15 18:07:36,https://raider.io/characters/eu/saurfang/rhainecloud,https://worldofwarcraft.blizzard.com/en-gb/character/eu/saurfang/rhainecloud,https://www.warcraftlogs.com/character/eu/saurfang/rhainecloud
Diztruction,saurfang,80,Paladin,Human,Waxing Moon,2597.0,22720.0,False,Diztruction,106,2026-03-06 14:07:10,https://raider.io/characters/eu/saurfang/diztruction,https://worldofwarcraft.blizzard.com/en-gb/character/eu/saurfang/diztruction,https://www.warcraftlogs.com/character/eu/saurfang/diztruction
Guenevéré,darkspear,80,Mage,Human,Half Moon,2646.0,21590.0,False,Guenevéré,94,2026-02-22 09:12:10,https://raider.io/characters/eu/darkspear/guenevéré,https://worldofwarcraft.blizzard.com/en-gb/character/eu/darkspear/guenevéré,https://www.warcraftlogs.com/character/eu/darkspear/guenevéré
Thogros,darkspear,80,Hunter,Dark Iron Dwarf,Half Moon,2649.0,21615.0,True,Guenevéré,108,2026-02-25 19:22:02,https://raider.io/characters/eu/darkspear/thogros,https://worldofwarcraft.blizzard.com/en-gb/character/eu/darkspear/thogros,https://www.warcraftlogs.com/character/eu/darkspear/thogros
Stridér,terokkar,90,Demon Hunter,Night Elf,Active Moon,2712.0,21155.0,True,Theblueguy,189,2026-03-16 00:36:01,https://raider.io/characters/eu/terokkar/stridér,https://worldofwarcraft.blizzard.com/en-gb/character/eu/terokkar/stridér,https://www.warcraftlogs.com/character/eu/terokkar/stridér
Magefist,saurfang,80,Mage,Human,New Moon,1683.0,14115.0,False,Magefist,100,2026-03-05 21:32:39,https://raider.io/characters/eu/saurfang/magefist,https://worldofwarcraft.blizzard.com/en-gb/character/eu/saurfang/magefist,https://www.warcraftlogs.com/character/eu/saurfang/magefist
Mizzery,darkspear,90,Warlock,Gnome,Full Moon,1689.0,14680.0,False,Mizzery,192,2026-03-15 22:29:08,https://raider.io/characters/eu/darkspear/mizzery,https://worldofwarcraft.blizzard.com/en-gb/character/eu/darkspear/mizzery,https://www.warcraftlogs.com/character/eu/darkspear/mizzery
Darkdream,darkspear,80,Warlock,Night Elf,Full Moon,2188.0,18960.0,False,Darkdream,100,2026-03-05 16:20:29,https://raider.io/characters/eu/darkspear/darkdream,https://worldofwarcraft.blizzard.com/en-gb/character/eu/darkspear/darkdream,https://www.warcraftlogs.com/character/eu/darkspear/darkdream
Krest,terokkar,80,Paladin,Human,Full Moon,2910.0,26350.0,False,Krest,135,2026-03-15 03:13:33,https://raider.io/characters/eu/terokkar/krest,https://worldofwarcraft.blizzard.com/en-gb/character/eu/terokkar/krest,https://www.warcraftlogs.com/character/eu/terokkar/krest
Haamer,saurfang,70,Paladin,Human,New Moon,2319.0,19440.0,False,Haamer,80,2026-03-06 19:26:55,https://raider.io/characters/eu/saurfang/haamer,https://worldofwarcraft.blizzard.com/en-gb/character/eu/saurfang/haamer,https://www.warcraftlogs.com/character/eu/saurfang/haamer
Peetsj,darkspear,80,Rogue,Vulpera,Officer Alt,3461.0,30170.0,False,Peetsj,78,2026-02-28 16:23:25,https://raider.io/characters/eu/darkspear/peetsj,https://worldofwarcraft.blizzard.com/en-gb/character/eu/darkspear/peetsj,https://www.warcraftlogs.com/character/eu/darkspear/peetsj
Zarramon,saurfang,80,Monk,Void Elf,Half Moon,1994.0,17440.0,False,Zarramon,122,2026-02-23 19:27:17,https://raider.io/characters/eu/saurfang/zarramon,https://worldofwarcraft.blizzard.com/en-gb/character/eu/saurfang/zarramon,https://www.warcraftlogs.com/character/eu/saurfang/zarramon
Aras,terokkar,80,Paladin,Lightforged Draenei,Half Moon,2271.0,19475.0,False,Aras,650,2025-12-05 13:46:51,https://raider.io/characters/eu/terokkar/aras,https://worldofwarcraft.blizzard.com/en-gb/character/eu/terokkar/aras,https://www.warcraftlogs.com/character/eu/terokkar/aras
Pikkeduvan,saurfang,90,Warrior,Human,Waxing Moon,1707.0,14330.0,True,Magefist,226,2026-03-15 13:25:35,https://raider.io/characters/eu/saurfang/pikkeduvan,https://worldofwarcraft.blizzard.com/en-gb/character/eu/saurfang/pikkeduvan,https://www.warcraftlogs.com/character/eu/saurfang/pikkeduvan
Mireyia,terokkar,80,Paladin,Draenei,Full Moon,1667.0,13990.0,False,Mireyia,544,2025-12-03 22:59:02,https://raider.io/characters/eu/terokkar/mireyia,https://worldofwarcraft.blizzard.com/en-gb/character/eu/terokkar/mireyia,https://www.warcraftlogs.com/character/eu/terokkar/mireyia
